Mobile_Number,Age,Gender,Appointment_Date,Day_of_Week,Session_Type,Tattoo_Size,Tattoo_Style,Artist_Name,Session_Hours,Final_Rate,Additional_Services,Total_Bill,Payment_Mode,Customer_Satisfaction
5479708607,46,Male,2024-12-10,Tuesday,Pre-booked,Small,Minimalist,Artist A,2,21813,Consultation Fee,22813,Card,2
3825873196,35,Male,2024-02-26,Monday,Walk-in,Large,Script,Artist A,6,17479,Piercing,18979,Card,4
3298737106,43,Female,2024-08-01,Thursday,Pre-booked,Sleeve/Back,Minimalist,Artist B,10,34850,None,34850,UPI,1
3196814233,51,Male,2024-10-25,Friday,Pre-booked,Sleeve/Back,Script,Artist B,9,20079,Consultation Fee,21079,Cash,4
3978815630,27,Male,2024-06-06,Thursday,Walk-in,Small,Minimalist,Artist D,1,6063,None,6063,UPI,2
4242911821,53,Male,2024-12-18,Wednesday,Pre-booked,Large,Script,Artist C,4,43011,Piercing,44511,UPI,1
3342703921,31,Male,2024-11-18,Monday,Walk-in,Large,Minimalist,Artist C,5,18887,None,18887,Card,4
3999829240,48,Female,2024-01-14,Sunday,Pre-booked,Small,Tribal,Artist C,2,27373,None,27373,UPI,4
3433797840,32,Male,2024-11-01,Friday,Pre-booked,Small,Custom,Artist A,1,3931,Piercing,5431,Cash,1
4632629719,25,Male,2024-08-30,Friday,Walk-in,Small,Minimalist,Artist A,2,38368,None,38368,Cash,1
4193887545,31,Male,2024-05-15,Wednesday,Walk-in,Sleeve/Back,Custom,Artist D,6,20362,Consultation Fee,21362,UPI,3
4947382419,40,Male,2024-12-01,Sunday,Pre-booked,Medium,Tribal,Artist A,3,16783,None,16783,Card,1
4566942273,38,Female,2024-10-23,Wednesday,Pre-booked,Large,Tribal,Artist A,5,11942,Consultation Fee,12942,Card,2
3698594025,33,Female,2024-10-22,Tuesday,Walk-in,Small,Script,Artist C,1,24399,None,24399,UPI,5
4589915144,35,Female,2024-04-26,Friday,Pre-booked,Large,Custom,Artist B,4,27745,Consultation Fee,28745,UPI,3
4525876051,41,Female,2024-01-27,Saturday,Pre-booked,Small,Realism,Artist D,2,45052,Piercing,46552,UPI,1
3899825838,43,Male,2024-10-25,Friday,Pre-booked,Small,Script,Artist A,2,10995,Aftercare Kit,11495,UPI,5
4146660997,42,Female,2024-09-02,Monday,Pre-booked,Medium,Custom,Artist A,3,7753,Consultation Fee,8753,Cash,3
3306671447,46,Male,2024-03-28,Thursday,Pre-booked,Small,Minimalist,Artist B,1,49834,None,49834,Cash,2
3735034881,32,Male,2024-09-25,Wednesday,Pre-booked,Large,Minimalist,Artist C,5,27048,None,27048,UPI,5
5294113287,18,Female,2024-11-18,Monday,Pre-booked,Small,Tribal,Artist B,2,36125,None,36125,Card,1
4051454923,42,Male,2024-11-13,Wednesday,Walk-in,Medium,Realism,Artist B,3,46433,Piercing,47933,Card,1
3701808367,24,Female,2024-07-13,Saturday,Walk-in,Medium,Minimalist,Artist D,3,42137,Consultation Fee,43137,Card,2
4985392498,26,Male,2024-03-16,Saturday,Walk-in,Medium,Custom,Artist D,3,42994,Aftercare Kit,43494,UPI,3
4629748727,41,Female,2024-12-14,Saturday,Pre-booked,Small,Custom,Artist A,1,46991,None,46991,Cash,5
4159417075,18,Female,2024-05-04,Saturday,Pre-booked,Small,Minimalist,Artist B,1,16904,None,16904,UPI,2
5392080953,25,Female,2024-01-17,Wednesday,Walk-in,Sleeve/Back,Custom,Artist B,7,29350,Consultation Fee,30350,Cash,3
3943239974,41,Female,2024-10-20,Sunday,Pre-booked,Small,Custom,Artist D,2,17752,Aftercare Kit,18252,Cash,4
4392783743,28,Female,2024-12-24,Tuesday,Pre-booked,Large,Tribal,Artist D,6,39545,Aftercare Kit,40045,Card,4
3240251661,34,Male,2024-02-26,Monday,Walk-in,Sleeve/Back,Realism,Artist A,9,12010,None,12010,Cash,3
3983753977,25,Male,2024-04-07,Sunday,Pre-booked,Small,Tribal,Artist C,2,29948,None,29948,UPI,1
3137869475,52,Male,2024-01-10,Wednesday,Walk-in,Small,Realism,Artist B,2,22472,None,22472,Cash,1
4354860540,52,Female,2024-08-13,Tuesday,Walk-in,Medium,Custom,Artist A,4,41673,Piercing,43173,Cash,4
4722989659,50,Male,2024-06-09,Sunday,Pre-booked,Sleeve/Back,Realism,Artist A,9,23580,None,23580,Card,1
4149938334,22,Female,2024-08-02,Friday,Pre-booked,Sleeve/Back,Custom,Artist B,10,31436,None,31436,Card,1
3284277889,45,Male,2024-03-18,Monday,Walk-in,Medium,Custom,Artist B,4,37535,Piercing,39035,Cash,3
3906164396,24,Male,2024-07-30,Tuesday,Pre-booked,Large,Tribal,Artist A,4,10635,None,10635,Cash,3
5436019774,26,Female,2024-12-19,Thursday,Pre-booked,Small,Tribal,Artist C,1,15550,Aftercare Kit,16050,UPI,1
4351531223,25,Male,2024-04-14,Sunday,Walk-in,Sleeve/Back,Script,Artist A,9,44760,Consultation Fee,45760,UPI,3
3913224047,29,Male,2024-07-29,Monday,Walk-in,Sleeve/Back,Minimalist,Artist C,7,11081,None,11081,Card,5
5144181937,51,Male,2024-09-13,Friday,Pre-booked,Small,Script,Artist B,2,40078,Consultation Fee,41078,Card,4
4699226064,50,Female,2024-11-09,Saturday,Walk-in,Small,Script,Artist A,2,37478,None,37478,Cash,5
4970753705,40,Female,2024-08-29,Thursday,Pre-booked,Small,Realism,Artist B,2,46829,None,46829,Card,5
3613628803,41,Male,2024-02-01,Thursday,Pre-booked,Small,Custom,Artist A,1,15258,Aftercare Kit,15758,UPI,1
4137651678,54,Male,2024-12-27,Friday,Pre-booked,Large,Custom,Artist B,6,11051,None,11051,UPI,1
3599707677,52,Male,2024-03-11,Monday,Walk-in,Small,Custom,Artist A,1,22250,None,22250,Cash,5
4059257080,39,Female,2024-09-22,Sunday,Pre-booked,Small,Minimalist,Artist B,1,47123,Consultation Fee,48123,UPI,5
5411057787,44,Female,2024-04-16,Tuesday,Pre-booked,Small,Realism,Artist A,2,48211,Aftercare Kit,48711,Cash,2
5314889832,52,Male,2024-10-14,Monday,Walk-in,Sleeve/Back,Realism,Artist C,10,36328,Consultation Fee,37328,Cash,2
4128466620,18,Male,2024-06-15,Saturday,Walk-in,Medium,Custom,Artist C,3,10863,Aftercare Kit,11363,Cash,4
5510777721,52,Male,2024-12-05,Thursday,Walk-in,Medium,Script,Artist A,2,30184,Aftercare Kit,30684,Cash,5
4840109255,54,Female,2024-09-01,Sunday,Pre-booked,Small,Minimalist,Artist B,1,11512,Consultation Fee,12512,UPI,3
5506254832,31,Female,2024-09-26,Thursday,Pre-booked,Sleeve/Back,Script,Artist A,7,45006,Piercing,46506,Card,2
4715412119,20,Male,2024-07-11,Thursday,Walk-in,Large,Tribal,Artist C,4,39017,None,39017,Cash,1
4554762903,18,Male,2024-06-09,Sunday,Pre-booked,Small,Realism,Artist A,1,12357,Consultation Fee,13357,UPI,5
3941975480,22,Male,2024-03-29,Friday,Walk-in,Small,Realism,Artist B,1,22807,None,22807,UPI,3
3594130308,43,Female,2024-08-23,Friday,Pre-booked,Small,Script,Artist B,1,6444,None,6444,UPI,3
5188398760,31,Male,2024-09-29,Sunday,Walk-in,Small,Minimalist,Artist D,1,38525,None,38525,UPI,3
5119634399,44,Female,2024-06-24,Monday,Pre-booked,Medium,Realism,Artist B,3,36928,Piercing,38428,Cash,1
3390452952,26,Female,2024-10-06,Sunday,Pre-booked,Sleeve/Back,Script,Artist C,6,49149,None,49149,UPI,2
3202363285,32,Male,2024-06-30,Sunday,Pre-booked,Medium,Minimalist,Artist B,3,9758,None,9758,UPI,3
3470939445,32,Male,2024-12-12,Thursday,Walk-in,Large,Script,Artist D,6,14067,None,14067,UPI,2
3656448479,43,Male,2024-12-14,Saturday,Walk-in,Medium,Minimalist,Artist C,2,22814,Consultation Fee,23814,UPI,4
3687117441,30,Female,2024-11-25,Monday,Pre-booked,Large,Custom,Artist A,5,11536,Aftercare Kit,12036,Card,1
4813163240,49,Female,2024-12-20,Friday,Walk-in,Large,Minimalist,Artist D,5,49649,None,49649,UPI,2
3272849424,49,Female,2024-05-15,Wednesday,Walk-in,Small,Tribal,Artist B,2,3932,Aftercare Kit,4432,Cash,2
4652563013,21,Male,2024-11-08,Friday,Walk-in,Small,Custom,Artist D,2,22885,Consultation Fee,23885,Card,3
4639042338,47,Male,2024-09-04,Wednesday,Pre-booked,Medium,Script,Artist D,4,29134,Aftercare Kit,29634,Cash,3
5010258946,54,Female,2024-04-08,Monday,Pre-booked,Small,Custom,Artist A,1,28951,None,28951,UPI,1
5272528809,40,Female,2024-05-06,Monday,Pre-booked,Small,Custom,Artist C,1,21880,None,21880,Cash,2
4079815404,32,Male,2024-05-22,Wednesday,Walk-in,Medium,Script,Artist A,2,31032,Consultation Fee,32032,Card,5
5376087131,46,Other,2024-10-12,Saturday,Walk-in,Sleeve/Back,Script,Artist A,8,43736,None,43736,Card,3
3049310608,53,Female,2024-06-01,Saturday,Pre-booked,Medium,Tribal,Artist A,3,19943,None,19943,UPI,3
3491995979,30,Female,2024-04-25,Thursday,Pre-booked,Large,Script,Artist C,6,11958,Consultation Fee,12958,Card,4
5306270004,49,Female,2024-06-01,Saturday,Walk-in,Medium,Realism,Artist A,3,14316,None,14316,UPI,1
4146005448,24,Female,2024-05-27,Monday,Pre-booked,Large,Realism,Artist A,4,8997,None,8997,UPI,2
4461042543,39,Female,2024-12-26,Thursday,Walk-in,Medium,Tribal,Artist C,3,10620,None,10620,Card,2
3479112937,45,Male,2024-04-16,Tuesday,Pre-booked,Large,Minimalist,Artist A,6,14107,Piercing,15607,Card,2
4260573448,19,Male,2024-12-19,Thursday,Walk-in,Medium,Minimalist,Artist A,4,3716,None,3716,UPI,3
4867302554,23,Female,2024-12-26,Thursday,Pre-booked,Medium,Realism,Artist A,3,42106,Piercing,43606,UPI,1
3679282378,45,Male,2024-09-07,Saturday,Pre-booked,Medium,Script,Artist B,3,42432,Consultation Fee,43432,UPI,2
4948728483,45,Male,2024-06-11,Tuesday,Pre-booked,Medium,Tribal,Artist B,2,19489,Consultation Fee,20489,Cash,5
3013938521,37,Male,2024-09-02,Monday,Walk-in,Small,Minimalist,Artist A,2,41688,None,41688,UPI,4
4131247330,47,Male,2024-06-27,Thursday,Pre-booked,Small,Minimalist,Artist D,1,39161,None,39161,Card,4
5150000991,28,Female,2024-10-13,Sunday,Pre-booked,Small,Custom,Artist C,2,42131,Consultation Fee,43131,Card,2
3767303988,45,Female,2024-05-20,Monday,Walk-in,Large,Realism,Artist B,4,17133,Aftercare Kit,17633,UPI,3
5180476188,42,Male,2024-05-27,Monday,Pre-booked,Small,Script,Artist B,2,41083,None,41083,Cash,4
3457031004,50,Male,2024-03-03,Sunday,Pre-booked,Small,Tribal,Artist B,1,17216,Aftercare Kit,17716,UPI,4
4281810600,18,Male,2024-10-20,Sunday,Pre-booked,Large,Minimalist,Artist C,4,17133,None,17133,Card,4
5180395476,44,Female,2024-12-12,Thursday,Pre-booked,Small,Custom,Artist A,1,47047,Aftercare Kit,47547,UPI,4
3854316681,30,Female,2024-10-05,Saturday,Walk-in,Medium,Realism,Artist A,2,3709,Consultation Fee,4709,Cash,2
3656439677,20,Male,2024-07-13,Saturday,Pre-booked,Small,Realism,Artist D,1,25544,None,25544,Card,1
4605947756,23,Female,2024-07-21,Sunday,Walk-in,Sleeve/Back,Tribal,Artist A,7,7208,Aftercare Kit,7708,UPI,1
3693847829,25,Female,2024-06-25,Tuesday,Pre-booked,Large,Minimalist,Artist B,5,47098,Consultation Fee,48098,Cash,3
5316615266,44,Female,2024-03-15,Friday,Pre-booked,Large,Tribal,Artist D,6,33234,Piercing,34734,Cash,5
5277851678,26,Female,2024-05-28,Tuesday,Pre-booked,Medium,Tribal,Artist C,3,10787,None,10787,UPI,1
3002456273,54,Male,2024-01-22,Monday,Walk-in,Large,Custom,Artist B,6,34920,None,34920,Cash,5
4392239675,50,Female,2024-05-27,Monday,Walk-in,Small,Realism,Artist C,1,41630,Piercing,43130,UPI,1
5098545541,41,Male,2024-12-31,Tuesday,Pre-booked,Small,Script,Artist A,1,32720,Aftercare Kit,33220,Cash,1
3083651970,32,Female,2024-02-10,Saturday,Pre-booked,Small,Realism,Artist C,2,48662,None,48662,Card,3
3480468219,49,Female,2024-06-26,Wednesday,Pre-booked,Medium,Realism,Artist B,2,44570,Piercing,46070,UPI,4
4558990517,49,Female,2024-08-14,Wednesday,Pre-booked,Medium,Custom,Artist D,4,26507,None,26507,UPI,3
4320763135,41,Female,2024-12-01,Sunday,Pre-booked,Medium,Script,Artist D,2,14057,Aftercare Kit,14557,Card,1
4028439863,29,Male,2024-05-11,Saturday,Walk-in,Small,Minimalist,Artist D,1,27392,Aftercare Kit,27892,Card,4
3248786714,19,Male,2024-09-02,Monday,Walk-in,Medium,Script,Artist D,2,34207,None,34207,UPI,4
4034535593,20,Other,2024-04-19,Friday,Walk-in,Large,Minimalist,Artist B,5,33054,Piercing,34554,Cash,4
5436779490,54,Female,2024-04-13,Saturday,Walk-in,Medium,Script,Artist B,4,11012,None,11012,Card,5
3338258951,34,Male,2024-10-02,Wednesday,Pre-booked,Large,Tribal,Artist B,5,12733,Aftercare Kit,13233,Cash,1
3367878761,19,Male,2024-05-18,Saturday,Pre-booked,Small,Script,Artist C,2,14665,Piercing,16165,Card,2
5087313121,19,Male,2024-10-14,Monday,Pre-booked,Large,Custom,Artist D,5,16829,None,16829,Cash,3
3297265480,45,Female,2024-12-22,Sunday,Walk-in,Medium,Minimalist,Artist A,3,4112,Consultation Fee,5112,Card,5
5287955558,40,Female,2024-05-19,Sunday,Walk-in,Small,Realism,Artist D,2,28777,None,28777,Card,3
3540137296,54,Male,2024-03-11,Monday,Walk-in,Small,Custom,Artist D,2,2983,Aftercare Kit,3483,Cash,2
3551437149,49,Male,2024-02-25,Sunday,Walk-in,Medium,Minimalist,Artist D,3,19685,None,19685,Cash,4
5041322270,50,Female,2024-11-11,Monday,Pre-booked,Large,Minimalist,Artist D,4,29069,None,29069,UPI,2
5361388464,18,Female,2024-10-27,Sunday,Walk-in,Medium,Realism,Artist A,3,16585,Piercing,18085,Card,3
3709214891,36,Male,2024-05-02,Thursday,Pre-booked,Small,Tribal,Artist A,2,45996,None,45996,UPI,2
4138409539,19,Female,2024-05-04,Saturday,Walk-in,Large,Custom,Artist A,6,15292,None,15292,UPI,1
5266341635,43,Male,2024-01-26,Friday,Pre-booked,Medium,Realism,Artist A,4,15406,Consultation Fee,16406,Cash,2
4817363615,49,Male,2024-12-08,Sunday,Pre-booked,Medium,Realism,Artist C,4,6334,None,6334,UPI,1
3909666337,23,Female,2024-09-28,Saturday,Walk-in,Medium,Tribal,Artist D,3,13604,None,13604,Cash,2
5316259067,49,Female,2024-04-25,Thursday,Pre-booked,Small,Custom,Artist D,1,30788,Aftercare Kit,31288,UPI,1
3863937247,21,Female,2024-11-22,Friday,Pre-booked,Medium,Realism,Artist C,2,42439,Consultation Fee,43439,UPI,1
4338811290,28,Female,2024-04-29,Monday,Pre-booked,Small,Tribal,Artist A,2,34108,Piercing,35608,Card,2
4713658874,34,Female,2024-01-27,Saturday,Walk-in,Sleeve/Back,Custom,Artist A,10,47079,Consultation Fee,48079,UPI,5
4603828849,41,Male,2024-02-21,Wednesday,Pre-booked,Medium,Script,Artist A,4,23292,None,23292,Cash,4
4881625505,22,Male,2024-07-30,Tuesday,Pre-booked,Medium,Minimalist,Artist B,4,31985,Consultation Fee,32985,Card,4
5222971316,51,Male,2024-06-18,Tuesday,Pre-booked,Medium,Tribal,Artist B,4,18173,None,18173,UPI,4
4939118223,23,Male,2024-08-29,Thursday,Pre-booked,Sleeve/Back,Minimalist,Artist A,8,30020,Piercing,31520,Cash,1
3519709079,39,Female,2024-02-21,Wednesday,Pre-booked,Large,Script,Artist B,5,28533,Consultation Fee,29533,Cash,4
4064746525,28,Other,2024-12-14,Saturday,Pre-booked,Medium,Realism,Artist A,4,4741,None,4741,Card,1
3965067727,33,Male,2024-03-11,Monday,Pre-booked,Large,Realism,Artist C,4,41841,None,41841,UPI,5
3274989148,50,Male,2024-01-03,Wednesday,Pre-booked,Medium,Custom,Artist B,3,26928,None,26928,Card,2
4452066459,26,Female,2024-10-08,Tuesday,Pre-booked,Medium,Tribal,Artist B,2,49199,Aftercare Kit,49699,UPI,2
3090341465,23,Male,2024-03-21,Thursday,Pre-booked,Small,Tribal,Artist B,2,22506,Consultation Fee,23506,Cash,1
5526766690,33,Female,2024-07-27,Saturday,Pre-booked,Medium,Custom,Artist D,3,27831,Piercing,29331,Card,1
5379074819,46,Female,2024-11-30,Saturday,Pre-booked,Small,Minimalist,Artist A,2,42075,None,42075,UPI,5
3988335251,20,Female,2024-08-31,Saturday,Walk-in,Sleeve/Back,Realism,Artist B,8,39482,Piercing,40982,Cash,4
5527331058,37,Male,2024-09-01,Sunday,Pre-booked,Small,Realism,Artist C,2,40915,None,40915,UPI,5
3945826486,53,Male,2024-11-29,Friday,Pre-booked,Sleeve/Back,Tribal,Artist C,8,37137,None,37137,Cash,2
3030884438,36,Female,2024-04-12,Friday,Pre-booked,Medium,Tribal,Artist D,2,36421,Piercing,37921,Cash,2
3304912982,43,Female,2024-05-27,Monday,Pre-booked,Medium,Custom,Artist B,2,44034,None,44034,Cash,4
3252860896,20,Male,2024-06-13,Thursday,Walk-in,Medium,Script,Artist B,4,48144,None,48144,UPI,2
3983297492,36,Female,2024-05-26,Sunday,Pre-booked,Small,Minimalist,Artist A,1,4523,None,4523,Card,1
3289482182,37,Male,2024-11-26,Tuesday,Walk-in,Small,Script,Artist C,1,36121,Aftercare Kit,36621,UPI,2
3134917627,49,Female,2024-01-31,Wednesday,Pre-booked,Small,Script,Artist A,2,9164,Piercing,10664,Card,3
4419179580,24,Male,2024-02-15,Thursday,Pre-booked,Medium,Tribal,Artist A,4,31596,Piercing,33096,Card,4
3304330003,50,Female,2024-11-29,Friday,Pre-booked,Medium,Tribal,Artist B,3,31943,Aftercare Kit,32443,Card,4
5208283728,35,Male,2024-10-20,Sunday,Walk-in,Large,Tribal,Artist B,6,4779,None,4779,UPI,4
4022222125,18,Male,2024-04-28,Sunday,Pre-booked,Small,Script,Artist A,1,18103,None,18103,UPI,3
4196050747,28,Male,2024-09-30,Monday,Walk-in,Small,Minimalist,Artist C,1,35993,Consultation Fee,36993,UPI,5
5084839399,45,Male,2024-01-20,Saturday,Walk-in,Medium,Tribal,Artist C,4,37249,None,37249,Cash,1
3920140090,42,Female,2024-03-30,Saturday,Walk-in,Sleeve/Back,Realism,Artist A,9,27926,None,27926,Card,4
5315992115,40,Other,2024-08-01,Thursday,Walk-in,Large,Minimalist,Artist B,5,4572,Consultation Fee,5572,Card,2
3568275055,48,Male,2024-03-31,Sunday,Pre-booked,Medium,Realism,Artist C,3,38549,Aftercare Kit,39049,UPI,1
5452611418,47,Male,2024-01-19,Friday,Pre-booked,Medium,Minimalist,Artist B,3,27388,None,27388,Cash,2
5474810179,52,Female,2024-07-22,Monday,Walk-in,Small,Tribal,Artist B,2,35824,None,35824,Cash,1
5030106617,24,Female,2024-09-10,Tuesday,Pre-booked,Sleeve/Back,Custom,Artist B,9,43330,None,43330,Card,1
4043665192,33,Female,2024-04-05,Friday,Walk-in,Medium,Tribal,Artist C,4,5230,Aftercare Kit,5730,Cash,2
5031403296,43,Male,2024-05-28,Tuesday,Pre-booked,Small,Script,Artist D,1,14442,Piercing,15942,Cash,2
4748309234,19,Male,2024-01-20,Saturday,Pre-booked,Medium,Script,Artist C,4,21082,Aftercare Kit,21582,UPI,1
3817804383,18,Female,2024-01-05,Friday,Pre-booked,Small,Minimalist,Artist A,1,30806,None,30806,Card,4
3405126228,29,Male,2024-06-01,Saturday,Pre-booked,Sleeve/Back,Script,Artist B,8,28085,None,28085,UPI,2
3416314667,22,Female,2024-10-17,Thursday,Pre-booked,Small,Tribal,Artist D,1,21959,Aftercare Kit,22459,UPI,3
4851350739,54,Male,2024-11-04,Monday,Walk-in,Medium,Realism,Artist A,4,20737,None,20737,Cash,3
4521696479,49,Female,2024-02-24,Saturday,Pre-booked,Small,Tribal,Artist D,2,32234,None,32234,Card,1
4819256337,26,Male,2024-06-20,Thursday,Walk-in,Large,Minimalist,Artist D,6,12910,None,12910,Cash,5
4765670844,52,Female,2024-05-25,Saturday,Pre-booked,Large,Script,Artist A,5,29686,None,29686,UPI,1
5005855667,36,Male,2024-08-20,Tuesday,Pre-booked,Medium,Realism,Artist D,4,21295,Aftercare Kit,21795,Card,1
3232663462,33,Female,2024-11-24,Sunday,Pre-booked,Medium,Custom,Artist B,3,42182,None,42182,Card,4
3422701550,20,Male,2024-10-05,Saturday,Walk-in,Large,Realism,Artist D,4,5574,Aftercare Kit,6074,Card,4
3260329455,37,Female,2024-09-25,Wednesday,Pre-booked,Small,Realism,Artist B,1,47216,Consultation Fee,48216,Card,5
4729245242,41,Female,2024-09-09,Monday,Walk-in,Small,Tribal,Artist B,2,35880,None,35880,Cash,5
4457293575,50,Female,2024-03-09,Saturday,Pre-booked,Small,Custom,Artist C,1,11321,None,11321,Card,5
3469306919,41,Female,2024-09-15,Sunday,Walk-in,Sleeve/Back,Minimalist,Artist C,9,32381,None,32381,UPI,5
4067970820,28,Female,2024-08-27,Tuesday,Walk-in,Small,Minimalist,Artist A,1,44342,None,44342,UPI,5
3822873088,25,Female,2024-05-19,Sunday,Pre-booked,Large,Realism,Artist C,6,31602,None,31602,Card,1
